claimant
M.J. Hegar
Lovely Warren
Louise Slaughter
Louis Marinelli
Lou Barletta
Loretta Lynch
Lois Kolkhorst
Liz Cheney
Lindsey Graham
Linda Sánchez
Letitia James
Leslie Geissler Munger
Leonard Lance
LaWana Mayfield
LaKeshia Myers
Kwame Raoul
Kirstjen Nielsen
Kirk Watson
Kip Kendrick
Kionne McGhee
Kevin Parker
Kevin Cahill
Kendra Fershee
Kendall Scudder
Ken Blackwell
Kelly Cassidy
Keith Faber
Keisha Lance Bottoms
Katie Porter
Katie McGinty
Kathy Manning
Kathy Hochul
Kathleen Sebelius
Kasim Reed
Karl Racine
Karin Housley
Karen Bass
Justin Nelson
Justin Amash
Justice Democrats
Juliana Stratton
Julian Bradley
Judy Chu
Juan Williams
Joyce Beatty
Josh Pade
Josh Mandel
Josh Kaul
Josh Earnest
Joseph Trillo
Jose Serrano
Joni Ernst
Jonathan Wichmann
Jon Tester
Jon Husted
John Torbett
John Thune
John Skvarla
John Shimkus
John Ratcliffe
John Podesta
John Plumb
John Moorlach
John Lewis
John Kirby
John Kennedy
John Kasich
John Flanagan
John Faso
John Culberson
John Conyers; Jr.
John Carter
John Bucy III
John Bel Edwards
Joe Straus
Joe Sanfelippo
Joe Kennedy
Joe Heck
Joe Berrios
Joe Arpaio
Jimmy Carter
Jimmy Anderson
Jim Webb
Jim Waldman
Jim Sensenbrenner
Jim Ott
Jim Himes
Jessica Morse
Jesse Kremer
Jesse Jackson
Jerry Tillman
Jerry Patterson
Jeremy Thiesfeldt
Jenny Wilson
Jeffrey Zients
Jeff Shipley
Jeff Merkley
Jeff Jackson
Jeff Brandes
Jeanne Shaheen
Jean Evans
Javier M. Gonzales
Janet Yellen
Janet Cruz
Janet Bewley
Janel Brandtjen;
Janel Brandtjen
Jan Brewer
James Risch
James Edming
James Clyburn
Jacqueline Collins
Jack Lew
Jack Kingston
J.D. Vance
Howard Marklein
Henry Cuellar
Harry Reid
Harry Brown
Hakeem Jeffries
Gus Bilirakis
Greg Walden
Greg Casar
Greg Abbot
Gordon Hintz; D-Oshkosh;
Gina Raimondo
Gil Cisneros
Gery Chico
Gerald Daugherty
George Papadopoulos
George Borrello
Gene Wu
Garry McCarthy
Garland Tucker
Frederica Wilson
Frank White
Everytown for Gun Safety
Evan Smith
Eugene DePasquale
Ertharin Cousin
Erika Harold
Erik Paulsen
Eric Holcomb
Elaine Phillips
Eileen Filler-Corn
Edward Markey
Edward J. Markey
Eddie Rodriguez
Duncan Hunter
Duf Sundheim
Drew Ferguson
Doug Ducey
Dorothy Brown
Doreen Costa
Donna Shalala
Donald trump
Don Pridemore
Don Huffines
Don Beyer
Diane Savino
Derrick Crowe
DeAnna Lorraine
David Simmons
David R. Lewis
David Price
David Lewis
David DiPietro
Dave Hansen
Dave Aronberg
Darrell Steinberg
Danny O'Connor
Daniel Biss
Dane Eagle
Dana Rohrabacher
Dan Flynn
Dan Blue
D. Cole Phelps
Crystal Peoples-Stokes
Colin Van Ostern
Chuck Grassley
Christine Quinn
Christine Lagarde
Chris Meagher
Chris Jones
Chaz Beasley
Cathy McMorris Rodgers
Carolyn Maloney
Carly Fiorina
Carlos Gimenez
Carlos Curbelo
Carl Heastie
Byron Brown
Bruce Elfant
Brian Kavanagh
