claimant_canonical_name
Christine Quinn
Christine Lagarde
Chris Meagher
Chris Jones
Chaz Beasley
Cathy McMorris Rodgers
Carolyn Maloney
Carly Fiorina
Carlos Curbelo
Carlos A. Giménez
Carl Heastie
Byron Brown
Bruce Elfant
Brian P. Kavanagh
Brett McGurk
Brendan Reilly
Brendan Boyle
Brandon Creighton
Bobby Scott (politician)
Bobbie Richardson
Bob Spindell
Bob Menendez
Bob Hall
Bob Graham
Bob Cortes
Bob Corker
Billy Richardson
Bill Mitchell (politician)
Bill Hightower
Bill Galvano
Betty Jean Grant
Beth Parlato
Ben Cardin
Barry Loudermilk
Barbara Dittrich
Barbara Boxer
Anthony Weiner
Anthony Tata
Anthony Brindisi
Andy Biggs
Andrew Giuliani
Andrew Clyde
Andrew Byrd
Andrea Stewart-Cousins
Amy Pechacek
Amanda Carpenter
Alma Adams
Alex Padilla
Alejandro Mayorkas
Al Franken
Aftab Pureval
Adam Jarchow
Adam Best
