Original Num ,updated num,,url,title,languageCode,publisher.name,publisher.site,claimDate,reviewDate,text,claimYear,claimant,claimant_party,textualRating,reason,ratingsimp,T/F RQ1,claimant_canonical_name,is_politician_strict,rand_num,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior
135,135,5402,http://www.politifact.com/factchecks/2011/dec/14/newt-gingrich/newt-gingrich-says-obama-administration-issued-ins/,Newt Gingrich says the Obama administration instructed terrorism training to not mention Islam,en,PolitiFact,politifact.com,2011-12-12T00:00:00Z,2016-07-15T17:04:49Z,The Obama administration just issued instructions that terrorism training should not involve any reference to Islam.',2011,Newt Gingrich,Republican,FALSE,,2 False,False(ish),Newt Gingrich,TRUE,2166,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
136,136,3291,http://www.politifact.com/factchecks/2017/jul/27/marco-rubio/marco-rubio-says-florida-mandates-coverage-more-co/,Marco Rubio says Florida mandates coverage of more conditions than Obamacare,en,PolitiFact,politifact.com,2017-07-20T00:00:00Z,2017-07-27T18:41:26Z,In order to sell insurance in Florida there are over 40 separate individual conditions that must be covered. ... far beyond the essential health benefits included in Obamacare.',2017,Marco Rubio,Republican,Mostly False,,3 Mostly False,False(ish),Marco Rubio,TRUE,2164,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
137,137,4621,https://www.politifact.com/factchecks/2020/aug/14/nancy-mace/kamala-harris-open-letting-boston-bomber-vote-didn/,Kamala Harris is open to letting Boston bomber vote; but didn't advocate for it,en,PolitiFact,politifact.com,2020-08-11T00:00:00Z,,Says Kamala Harris 'advocated for restoring voting rights for the Boston bomber.',2020,Nancy Mace,Republican,Mostly False,,3 Mostly False,False(ish),Nancy Mace,TRUE,2162,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
138,138,7519,https://www.politifact.com/factchecks/2016/oct/05/mike-pence/mike-pence-says-hillary-clinton-want-turn-obamacar/,Mike Pence says Hillary Clinton wants to turn Obamacare into single-payer,en,PolitiFact,politifact.com,2016-10-04T00:00:00Z,2016-10-05T04:58:14Z,Says Hillary Clinton and Tim Kaine 'want to expand (Obamacare) into a single-payer program.',2016,Mike Pence,Republican,Mostly False,,3 Mostly False,False(ish),Mike Pence,TRUE,2161,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
139,139,2959,https://www.politifact.com/factchecks/2019/aug/02/tulsi-gabbard/tulsi-gabbard-cites-us-arms-sales-saudi-arabia-fal/,Tulsi Gabbard cites US arms sales to Saudi Arabia in falsely claiming Donald Trump supports al-Qaida,en,PolitiFact,politifact.com,2019-07-31T00:00:00Z,,Says that under President Donald Trump; 'not only have we not gone after al-Qaida ... our president is supporting al-Qaida.',2019,Tulsi Gabbard,Democratic,FALSE,,2 False,False(ish),Tulsi Gabbard,TRUE,2160,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
140,140,1298,http://www.politifact.com/factchecks/2016/feb/05/ted-strickland/job-losses-under-nafta-ohio-murky/,Job losses under NAFTA in Ohio murky,en,PolitiFact,politifact.com,2016-12-10T00:00:00Z,2016-10-13T21:13:56Z,With 320;000 net Ohio manufacturing jobs lost; (Sen. Rob) Portman calls NAFTA a ‘proven success’.',2016,Ted Strickland,Democratic,Mostly False,,3 Mostly False,False(ish),Ted Strickland,TRUE,2158,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
141,141,5299,https://www.politifact.com/factchecks/2020/jun/01/joe-biden/naacp-gave-joe-biden-some-high-marks-never-endorse/,NAACP gave Joe Biden some high marks but never endorsed him,en,PolitiFact,politifact.com,2020-05-22T00:00:00Z,,The NAACP has endorsed me every time I've run.',2020,Joe Biden,Democratic,FALSE,,2 False,False(ish),Joe Biden,TRUE,2157,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
142,142,1573,http://www.politifact.com/factchecks/2018/may/31/sherrod-brown/sherrod-brown-misleads-lobbyist-attack-jim-renacci/,Sherrod Brown misleads in lobbyist attack on Jim Renacci in Ohio Senate race,en,PolitiFact,politifact.com,2018-05-18T00:00:00Z,2018-05-31T17:06:03Z,Jim Renacci has been a lobbyist even while in Congress' and 'voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest.',2018,Sherrod Brown,Democratic,Mostly False,,3 Mostly False,False(ish),Sherrod Brown,TRUE,2155,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
143,143,7653,http://www.politifact.com/factchecks/2018/apr/17/garry-mccarthy/chicago-gun-violence-really-killing-citys-bottom-l/,Is Chicago gun violence really 'killing' the city's budget?,en,PolitiFact,politifact.com,2018-03-30T00:00:00Z,2018-04-19T15:31:54Z,Studies show 'the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS' and 'the entire City budget for 2018 is $8.6 billion dollars. This math does not work; it is financially killing our city.',2018,Garry McCarthy,Democratic,FALSE,,2 False,False(ish),Garry McCarthy,TRUE,2154,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
144,144,2401,http://www.politifact.com/factchecks/2017/jan/20/peter-barca/citing-old-data-wisconsin-lawmaker-says-states-mid/,Citing old data; Wisconsin lawmaker says the state's middle class is 'most diminished' in US,en,PolitiFact,politifact.com,2017-01-10T00:00:00Z,2017-01-20T12:51:12Z,Wisconsin’s middle class is the 'most diminished' in the United States.,2017,Peter Barca,Democratic,FALSE,,2 False,False(ish),Peter W. Barca,TRUE,2153,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
