...1,url,languageCode,publisher.name,publisher.site,reviewDate,text,claimDate,claimant_party,reason,claimYear,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior,textualRating,claimant,location,location.extra,title
4701,https://www.politifact.com/factchecks/2018/sep/06/john-cox/john-coxs-exaggerated-claim-half-people-want-leave/,en,PolitiFact,politifact.com,2018-09-07T00:59:46Z,Fully half the people — our research is showing half the people — in (California) want to leave.',2018-07-30T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,John Cox,TV Appearance,FOX,John Cox's exaggerated claim: 'Half the people' want to leave California
654,https://www.politifact.com/factchecks/2018/sep/07/katie-porter/fact-checking-democrat-katie-porters-tax-attack-ad/,en,PolitiFact,politifact.com,2018-09-07T16:04:42Z,Says 'Mimi Walters raised taxes on middle-class Californians.',2018-09-04T00:00:00Z,Democratic,NA,2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mostly False,Katie Porter,Advertisement,,Fact-checking Democrat Katie Porter's tax attack ad in California 45
2507,https://www.politifact.com/factchecks/2018/sep/07/greg-abbott/greg-abbott-says-texas-enjoying-record-high-school/,en,PolitiFact,politifact.com,2018-09-07T17:51:39Z,Says Texas 'high school graduation rates are at all-time highs.',2018-08-30T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,Greg Abbott,Advertisement,,Greg Abbott says Texas enjoying record high-school graduation rate
3465,https://www.politifact.com/factchecks/2018/sep/07/michael-lee/nc-senator-claims-teacher-pay-increased-under-repu/,en,PolitiFact,politifact.com,2018-09-07T17:59:07Z,Teacher pay has increased under Republican leadership every year for the past 5 years. In fact; even according to the national teacher's unions own rankings; NC ranked number 2 in the U.S. for fastest rising teacher pay 2016-2017.,2018-08-28T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Michael Lee,Social Media,Twitter,NC senator claims teacher pay increased under Republican leadership
5875,https://www.politifact.com/factchecks/2018/sep/07/tony-evers/evers-base-attacking-walker-health-care/,en,PolitiFact,politifact.com,2018-09-07T18:32:39Z,Says Scott Walker refused federal funds and 'Wisconsin families now pay nearly 50% more than Minnesotans for the same health care.',2018-08-27T00:00:00Z,Democratic,NA,2018,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mostly False,Tony Evers,Advertisement,,Tony Evers wrong to blame Scott Walker's rejection of Medicaid money for higher health costs
2903,https://www.politifact.com/factchecks/2018/sep/07/ken-paxton/ken-paxton-draws-debunked-figures-says-illegals-co/,en,PolitiFact,politifact.com,2018-09-07T19:29:47Z,Says Texas has 'had over 600;000 crimes committed by illegals since 2011. Over 1;200 homicides.',2018-08-26T00:00:00Z,Republican,NA,2018,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Pants on Fire,Ken Paxton,TV Appearance,FOX,Ken Paxton draws on debunked figures; says 'illegals' committed 600;000 crimes in Texas since 2011
1321,https://www.politifact.com/factchecks/2018/sep/10/kamala-harris/brett-kavanaugh-birth-control-abortion-inducing/,en,PolitiFact,politifact.com,2018-09-10T21:52:03Z,Says at his confirmation hearing Brett Kavanaugh said birth control methods could be considered 'abortion-inducing drugs.',2018-09-07T00:00:00Z,Democratic,NA,2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,False,Kamala Harris,Social Media,Twitter,Did Brett Kavanaugh call birth control abortion-inducing drugs? No
6551,https://www.politifact.com/factchecks/2018/sep/11/ron-desantis/ron-desantis-claims-andrew-gillum-wants-abolish-ic/,en,PolitiFact,politifact.com,2018-09-11T16:03:56Z,Says Andrew Gillum 'wants to abolish ICE and doesn't believe in doing any type of immigration enforcement.',2018-09-02T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Ron DeSantis,Interview,,Ron DeSantis leaves out context in claim that Andrew Gillum wants to abolish ICE
7149,https://www.politifact.com/factchecks/2018/sep/11/mark-meadows/meadows-says-ohr-got-dossier-through-his-wife/,en,PolitiFact,politifact.com,2018-09-11T19:09:22Z,Bruce Ohr's wife; Nellie Ohr; worked for Fusion GPS – which was the firm hired by the Clinton campaign to write the dossier. Bruce Ohr gave the dossier to the FBI. The FBI then used the same dossier to spy on the Trump campaign.,2018-08-31T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Mark Meadows,Written Statement,,The FBI; the Steele dossier and wiretapping; explained
2087,https://www.politifact.com/factchecks/2018/sep/12/aftab-pureval/chabots-votes-contradict-his-health-care-talk/,en,PolitiFact,politifact.com,2018-09-12T19:16:38Z,Steve Chabot 'voted to strip insurance protections for pre-existing conditions.',2018-08-28T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Aftab Pureval,Advertisement,,Chabot's votes contradict his health care talk
