...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
2610,https://www.washingtonpost.com/politics/2018/12/04/alexandria-ocasio-cortezs-trillion-mistake/,Alexandria Ocasio-Cortez's $21 trillion mistake,Four Pinocchios,en,The Washington Post,washingtonpost.com,2018-12-04T14:06:14Z,$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.',Alexandria Ocasio-Cortez,2018-12-02T00:00:00Z,Democratic
14486,https://www.washingtonpost.com/politics/2019/01/03/does-it-matter-that-trump-has-only-spent-six-percent-wall-money/?utm_term=.1b5a7235709b,Analysis | Does it matter that Trump has only spent 6 percent of the ‘wall’ money?,Three Pinocchios,en,The Washington Post,washingtonpost.com,2019-01-03T12:40:45Z,Over the last two years; Congress has provided nearly $1.7 billion to build or replace fencing on the southern border; but the Administration has hardly spent any of that money...So far; only six percent of those funds have been spent. Six.',Patrick Leahy,2018-12-10T00:00:00Z,Democratic
13479,https://www.washingtonpost.com/politics/2019/01/07/trump-administrations-misleading-spin-immigration-crime-terrorism/,Analysis | The Trump administration’s misleading spin on immigration; crime and terrorism,Three Pinocchios,en,The Washington Post,washingtonpost.com,2019-01-07T15:42:23Z,CBP has stopped over 3;000; what we call; special-interest aliens trying to come into the country on the southern border. Those are aliens who the intel community has identified are of concern. They either have travel patterns that are identified as terrorist travel patterns; or they have known or suspected ties to terrorism.',Kirstjen Nielsen,2019-01-04T00:00:00Z,Republican
13910,https://www.washingtonpost.com/politics/2019/01/11/elizabeth-warrens-claim-minimum-wage-supported-her-family-s/?utm_term=.9d438a5829cf,Analysis | Elizabeth Warren’s claim that minimum wage supported her family in the 1960s,Depends on stats used,en,The Washington Post,washingtonpost.com,2019-01-11T14:54:19Z,Because when I was a kid; a minimum wage job in America would support a family of three. It would pay a mortgage; keep the utilities on and put food on the table. Today; a minimum-wage job in America will not keep a mama and a baby out of poverty.',Elizabeth Warren,2019-01-04T00:00:00Z,Democratic
14369,https://www.washingtonpost.com/politics/2019/01/15/what-really-happened-white-house-situation-room/?utm_term=.cf66b123dea3,Analysis | What really happened in the White House Situation Room?,In dispute,en,The Washington Post,washingtonpost.com,2019-01-15T12:28:18Z,He sort of slammed the table and when Leader [Nancy] Pelosi said she didn’t agree with the wall we have nothing to discuss.',Charles E. Schumer,2019-01-09T00:00:00Z,Democratic
14189,https://www.washingtonpost.com/politics/2019/01/24/ocasio-cortezs-misfired-facts-living-wage-minimum-wage/?utm_term=.e0b638040277,Analysis | Ocasio-Cortez’s misfired facts on living wage and minimum wage,Three Pinocchios,en,The Washington Post,washingtonpost.com,2019-01-24T14:00:39Z,I think it’s wrong that a vast majority of the country doesn’t make a living wage...it’s wrong that corporations like Walmart and Amazon can get paid by the government; essentially experience a wealth transfer from the public; for paying people less than a minimum wage.',Alexandria Ocasio-Cortez,2019-01-21T00:00:00Z,Democratic
14081,https://www.washingtonpost.com/politics/2019/01/30/why-did-kamala-harris-withhold-support-special-investigations-police-shootings/,Analysis | Why did Kamala Harris withhold support for special investigations of police shootings?,Wrong,en,The Washington Post,washingtonpost.com,2019-01-30T22:59:49Z,I did not oppose the bill [calling for independent investigations of police use of deadly force]. I had a process when I was attorney general of not weighing in on bills and initiatives because; as attorney general; I had a responsibility for writing the title and summary. So I did not weigh in.',Kamala D. Harris,2019-01-28T00:00:00Z,Democratic
14070,https://www.washingtonpost.com/politics/2019/02/11/whats-actually-green-new-deal-democrats/,Analysis | What’s actually in the ‘Green New Deal’ from Democrats?,Not the whole story,en,The Washington Post,washingtonpost.com,2019-02-11T15:33:07Z,There are multiple doctored GND [Green New Deal] resolutions and FAQs floating around. There was also a draft version that got uploaded + taken down. There’s also draft versions floating out there. Point is; the real one is our submitted resolution; H.Res. 109.',Alexandria Ocasio-Cortez,2019-02-09T00:00:00Z,Democratic
14565,https://www.washingtonpost.com/politics/2019/02/12/does-full-time-us-worker-mcdonalds-make-just/?utm_term=.4b4fb79c8f61,Analysis | Does a full-time U.S. worker at McDonald’s make just $7;000?,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-02-12T11:21:38Z,The median pay for a McDonald’s worker was $7;000 in 2017. And that is the pay gap between the CEO that’s making 21.8 [million] to the 7;000 [dollars] that a worker who has put in 40 hours [a week] gets paid.',Ilhan Omar,2019-02-07T00:00:00Z,Democratic
4548,https://www.washingtonpost.com/politics/2019/02/13/kamala-harris-leaps-unwarranted-conclusions-tax-tweet/?utm_term=.ea62e8710b47,Analysis | Kamala Harris leaps to unwarranted conclusions in tax tweet,Four Pinocchios,en,The Washington Post,washingtonpost.com,2019-02-13T11:31:31Z,The average tax refund is down about $170 compared to last year. Let’s call the President’s tax cut what it is: a middle-class tax hike to line the pockets of already wealthy corporations and the 1%.',Kamala Harris,2019-02-11T00:00:00Z,Democratic
14237,https://www.washingtonpost.com/politics/2019/02/14/liz-cheneys-claim-that-green-new-deal-would-eliminate-air-travel/,Analysis | Liz Cheney’s claim that the ‘Green New Deal’ would eliminate air travel,Three Pinocchios,en,The Washington Post,washingtonpost.com,2019-02-14T14:56:22Z,I would just say that it’s going to be crucially important for us to recognize and understand when we outlaw plane travel; we outlaw gasoline; we outlaw cars; I think actually probably the entire U.S. military; because of the Green New Deal; that we are able to explain to our constituents and to people all across this country what that really means. And even when it comes down to something like air travel; which the FAQs say they want to eliminate within the next 10 years; that means the government is going to be telling people where they can fly to and where they can’t.',Liz Cheney,2019-02-12T00:00:00Z,Republican
14022,https://www.washingtonpost.com/politics/2019/02/19/does-walton-family-earn-more-minute-than-walmart-workers-year/?utm_term=.5ba06e9cb03d,Analysis | Does the Walton family earn more in a minute than Walmart workers do in a year?,Geppetto Checkmark,en,The Washington Post,washingtonpost.com,2019-02-19T11:27:19Z,The Walton family makes more money in one minute than Walmart workers do in an entire year.',Bernie Sanders,2019-02-14T00:00:00Z,Democratic
13895,https://www.washingtonpost.com/politics/2019/02/21/stephen-millers-claim-that-thousand-americans-die-year-after-year-illegal-immigration/?utm_term=.4c215a522c72,Analysis | Stephen Miller’s claim that ‘thousands of Americans die year after year’ from illegal immigration,Four Pinocchios,en,The Washington Post,washingtonpost.com,2019-02-21T12:42:07Z,This is a deep intellectual problem that is plaguing this city; which is that we’ve had thousands of Americans die year after year after year because of threats crossing our southern border.',Stephen Miller,2019-02-17T00:00:00Z,Republican
